id	output
["0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2",1]	0
["0x0000000000000000000000000000000000000000",1]	{"name": "Ethereum", "symbol": "ETH", "decimals": 18}
["0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48",1]	0
["0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599",1]	0
["0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a",1]	0
["0x6B175474E89094C44Da98b954EedeAC495271d0F",1]	0
["0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984",1]	0
["0x27cC685f30ac6c4ED13f7Fe827b20ec722FDdcac",1]	0
["0x652c0E3d583A43C6230eb2a8e9C9634e0deD7765",1]	0
["0x1106bB36fa455bd9b2b8832788197A593582dadA",1]	0
["0x922D8563631B03C2c4cf817f4d18f6883AbA0109",1]	0
["0x046EeE2cc3188071C02BfC1745A6b17c656e3f3d",1]	0
["0xD533a949740bb3306d119CC777fa900bA034cd52",1]	0
["0xdAC17F958D2ee523a2206206994597C13D831ec7",1]	0
["0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D",1]	0
["0x00a8250f1aA2dEEa3Ea12b06A135219e3396A207",1]	0
["0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32",1]	0
["0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee",1]	0
["0xA35923162C49cF95e6BF26623385eb431ad920D3",1]	0
["0x6B4c7A5e3f0B99FCD83e9c089BDDD6c7FCe5c611",1]	0
["0x6B0FaCA7bA905a86F221CEb5CA404f605e5b3131",1]	0
["0x5728e59002939074a10D0819732DcFc0bf6b5610",1]	0
["0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9",1]	0
["0x6cB52086c435405379D028991B2f885BBDe05d44",1]	0
["0x18084fbA666a33d37592fA2633fD49a74DD93a88",1]	0
["0x4274cD7277C7bb0806Bd5FE84b9aDAE466a8DA0a",1]	0
["0x57e114B691Db790C35207b2e685D4A43181e6061",1]	0
["0x955d5c14C8D4944dA1Ea7836bd44D54a8eC35Ba1",1]	0
["0x4c9EDD5852cd905f086C759E8383e09bff1E68B3",1]	0
["0x7cd167B101D2808Cfd2C45d17b2E7EA9F46b74B6",1]	0
["0xdA816459F1AB5631232FE5e97a05BBBb94970c95",1]	0
["0x6c8984bc7DBBeDAf4F6b2FD766f16eBB7d10AAb4",1]	0
["0x26E550AC11B26f78A04489d5F20f24E3559f7Dd9",1]	0
["0x1121AcC14c63f3C872BFcA497d10926A6098AAc5",1]	0
["0x68749665FF8D2d112Fa859AA293F07A622782F38",1]	0
["0x9A594F5ed8D119B73525dfE23aDBCeCa77fD828D",1]	0
["0x423f4e6138E475D85CF7Ea071AC92097Ed631eea",1]	0
["0x1b3be8fCD2e7C5cE9C5c242E0066FdD9740220d0",1]	0
["0x4B1E80cAC91e2216EEb63e29B957eB91Ae9C2Be8",1]	0
["0x851F679A5eDfb16E7cF1ad157C6995b7E7F333F2",1]	0
["0x47000A7B27a75D44FfaDfe9D0B97fA04D569B323",1]	0
["0x817bbDbC3e8A1204f3691d14bB44992841e3dB35",1]	0
["0x68530d76c9f475CbE306f55C8F61bBe3a60182fa",1]	0
["0x3D0293f06daF4311B482564330D57C8Db6C10893",1]	0
["0x628fDA7a32B88834244a3F170aD0ae14E0ccb7b4",1]	0
["0xa250CC729Bb3323e7933022a67B52200fE354767",1]	0
["0x38E059b98fb2C2BAf40EbCa0fd93961dEBD2FaEd",1]	0
["0x87d73E916D7057945c9BcD8cdd94e42A6F47f776",1]	0
["0xd536E7A9543Cf9867a580B45CEC7F748a1FE11eC",1]	0
["0x1F57da732A77636D913C9a75d685B26CC85DCC3A",1]	0
["0x32b86b99441480a7E5BD3A26c124ec2373e3F015",1]	0
["0xe4042c7c1Bf740B8DDb2aB43df6d9ED766B2513e",1]	0
["0x6982508145454Ce325dDbE47a25d4ec3d2311933",1]	0
["0x808507121B80c02388fAd14726482e061B8da827",1]	0
["0x29767af131653c9D23d59b3914f3aD9b6545Ba3D",1]	0
["0x2Dd636C514Bb4705c756D161585Ff9ec665f18A2",1]	0
["0x523AF069116E0E7bb10b461ad410ed6a17c0e101",1]	0
["0x73527988289bb83654A6Cd37AFae61372d668C6a",1]	0
["0x33AD91b9a32e4ce3F5c3c9C5f4C6A1f7749F945C",1]	0
["0x2e549E16774408EE81FF0ce436366595Cfb11dAf",1]	0
["0x713eF1484541d59878aD2eA3CE91f3851c4FbEF0",1]	0
["0x004E9C3EF86bc1ca1f0bB5C7662861Ee93350568",1]	0
["0xAF0db65B7296c02ab043F5Cb17300c8EE949F247",1]	0
["0xf819d9Cb1c2A819Fd991781A822dE3ca8607c3C9",1]	0
["0xB64ef51C888972c908CFacf59B47C1AfBC0Ab8aC",1]	0
["0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3",1]	0
["0x295B32e064D1C463A2a1eb279AAA1Fd6ABFE771B",1]	0
["0x9eeb66921663E0F54A794c2A9f95e06905095c0d",1]	0
["0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30",1]	0
